"Prenom";"Nom";"SamAccountName";"Email";"Password";"Groupe";"OUPath";"Categorie";"HeuresConnexion"
"Sophie";"Robert";"sophie.robert2";"sophie.robert2@mediaschool.local";"Dic{MUL;nV%j";"ce1-robert-batinder";"OU=robert-batinder,OU=Eleves,DC=Mediaschool,DC=local";"Eleve";"09h-17h"
"Alexandre";"Michel";"alexandre.michel3";"alexandre.michel3@mediaschool.local";"Dic{MUL;nV%j";"ce1-robert-batinder";"OU=robert-batinder,OU=Eleves,DC=Mediaschool,DC=local";"Eleve";"09h-17h"
"Isabelle";"Dubois";"isabelle.dubois1";"isabelle.dubois1@mediaschool.local";"Dic{MUL;nV%j";"ce2-robert-batinder";"OU=robert-batinder,OU=Eleves,DC=Mediaschool,DC=local";"Eleve";"09h-17h"
"Michel";"Roux";"michel.roux2";"michel.roux2@mediaschool.local";"Dic{MUL;nV%j";"ce2-robert-batinder";"OU=robert-batinder,OU=Eleves,DC=Mediaschool,DC=local";"Eleve";"09h-17h"
"Nathalie";"Robert";"nathalie.robert3";"nathalie.robert3@mediaschool.local";"Dic{MUL;nV%j";"ce2-robert-batinder";"OU=robert-batinder,OU=Eleves,DC=Mediaschool,DC=local";"Eleve";"09h-17h"
"Marie";"Martin";"marie.martin1";"marie.martin1@mediaschool.local";"Dic{MUL;nV%j";"cm1-robert-batinder";"OU=robert-batinder,OU=Eleves,DC=Mediaschool,DC=local";"Eleve";"09h-17h"
"David";"Bertrand";"david.bertrand2";"david.bertrand2@mediaschool.local";"Dic{MUL;nV%j";"cm1-robert-batinder";"OU=robert-batinder,OU=Eleves,DC=Mediaschool,DC=local";"Eleve";"09h-17h"
"Pierre";"Simon";"pierre.simon3";"pierre.simon3@mediaschool.local";"Dic{MUL;nV%j";"cm1-robert-batinder";"OU=robert-batinder,OU=Eleves,DC=Mediaschool,DC=local";"Eleve";"09h-17h"
"Camille";"Michel";"camille.michel1";"camille.michel1@mediaschool.local";"Dic{MUL;nV%j";"cm2-robert-batinder";"OU=robert-batinder,OU=Eleves,DC=Mediaschool,DC=local";"Eleve";"09h-17h"
"Sarah";"David";"sarah.david2";"sarah.david2@mediaschool.local";"Dic{MUL;nV%j";"cm2-robert-batinder";"OU=robert-batinder,OU=Eleves,DC=Mediaschool,DC=local";"Eleve";"09h-17h"
"Camille";"Richard";"camille.richard3";"camille.richard3@mediaschool.local";"Dic{MUL;nV%j";"cm2-robert-batinder";"OU=robert-batinder,OU=Eleves,DC=Mediaschool,DC=local";"Eleve";"09h-17h"
"Laura";"Thomas";"laura.thomas1";"laura.thomas1@mediaschool.local";"Dic{MUL;nV%j";"cp-jules-ferry";"OU=jules-ferry,OU=Eleves,DC=Mediaschool,DC=local";"Eleve";"09h-17h"
"Marie";"Dubois";"marie.dubois2";"marie.dubois2@mediaschool.local";"Dic{MUL;nV%j";"cp-jules-ferry";"OU=jules-ferry,OU=Eleves,DC=Mediaschool,DC=local";"Eleve";"09h-17h"
"Nathalie";"Martin";"nathalie.martin3";"nathalie.martin3@mediaschool.local";"Dic{MUL;nV%j";"cp-jules-ferry";"OU=jules-ferry,OU=Eleves,DC=Mediaschool,DC=local";"Eleve";"09h-17h"
"Jean";"Durand";"jean.durand1";"jean.durand1@mediaschool.local";"Dic{MUL;nV%j";"ce1-jules-ferry";"OU=jules-ferry,OU=Eleves,DC=Mediaschool,DC=local";"Eleve";"09h-17h"
"Sarah";"Fournier";"sarah.fournier2";"sarah.fournier2@mediaschool.local";"Dic{MUL;nV%j";"ce1-jules-ferry";"OU=jules-ferry,OU=Eleves,DC=Mediaschool,DC=local";"Eleve";"09h-17h"
"Emilie";"David";"emilie.david3";"emilie.david3@mediaschool.local";"Dic{MUL;nV%j";"ce1-jules-ferry";"OU=jules-ferry,OU=Eleves,DC=Mediaschool,DC=local";"Eleve";"09h-17h"
"Julien";"Petit";"julien.petit1";"julien.petit1@mediaschool.local";"Dic{MUL;nV%j";"ce2-jules-ferry";"OU=jules-ferry,OU=Eleves,DC=Mediaschool,DC=local";"Eleve";"09h-17h"
"Claire";"Bertrand";"claire.bertrand2";"claire.bertrand2@mediaschool.local";"Dic{MUL;nV%j";"ce2-jules-ferry";"OU=jules-ferry,OU=Eleves,DC=Mediaschool,DC=local";"Eleve";"09h-17h"
"Jean";"Thomas";"jean.thomas3";"jean.thomas3@mediaschool.local";"Dic{MUL;nV%j";"ce2-jules-ferry";"OU=jules-ferry,OU=Eleves,DC=Mediaschool,DC=local";"Eleve";"09h-17h"
"Sarah";"Moreau";"sarah.moreau1";"sarah.moreau1@mediaschool.local";"Dic{MUL;nV%j";"cm1-jules-ferry";"OU=jules-ferry,OU=Eleves,DC=Mediaschool,DC=local";"Eleve";"09h-17h"
"Pierre";"Durand";"pierre.durand2";"pierre.durand2@mediaschool.local";"Dic{MUL;nV%j";"cm1-jules-ferry";"OU=jules-ferry,OU=Eleves,DC=Mediaschool,DC=local";"Eleve";"09h-17h"
"Thomas";"Simon";"thomas.simon3";"thomas.simon3@mediaschool.local";"Dic{MUL;nV%j";"cm1-jules-ferry";"OU=jules-ferry,OU=Eleves,DC=Mediaschool,DC=local";"Eleve";"09h-17h"
"Nathalie";"Moreau";"nathalie.moreau1";"nathalie.moreau1@mediaschool.local";"Dic{MUL;nV%j";"cm2-jules-ferry";"OU=jules-ferry,OU=Eleves,DC=Mediaschool,DC=local";"Eleve";"09h-17h"
"Thomas";"Richard";"thomas.richard2";"thomas.richard2@mediaschool.local";"Dic{MUL;nV%j";"cm2-jules-ferry";"OU=jules-ferry,OU=Eleves,DC=Mediaschool,DC=local";"Eleve";"09h-17h"
"Alexandre";"Leroy";"alexandre.leroy3";"alexandre.leroy3@mediaschool.local";"Dic{MUL;nV%j";"cm2-jules-ferry";"OU=jules-ferry,OU=Eleves,DC=Mediaschool,DC=local";"Eleve";"09h-17h"
"Isabelle";"Dubois";"isabelle.dubois1";"isabelle.dubois1@mediaschool.local";"Dic{MUL;nV%j";"cp-robert-dedre";"OU=robert-dedre,OU=Eleves,DC=Mediaschool,DC=local";"Eleve";"09h-17h"
"Laura";"Dubois";"laura.dubois2";"laura.dubois2@mediaschool.local";"Dic{MUL;nV%j";"cp-robert-dedre";"OU=robert-dedre,OU=Eleves,DC=Mediaschool,DC=local";"Eleve";"09h-17h"
"Thomas";"Bertrand";"thomas.bertrand3";"thomas.bertrand3@mediaschool.local";"Dic{MUL;nV%j";"cp-robert-dedre";"OU=robert-dedre,OU=Eleves,DC=Mediaschool,DC=local";"Eleve";"09h-17h"
"Julien";"Roux";"julien.roux1";"julien.roux1@mediaschool.local";"Dic{MUL;nV%j";"ce1-robert-dedre";"OU=robert-dedre,OU=Eleves,DC=Mediaschool,DC=local";"Eleve";"09h-17h"
"Claire";"Leroy";"claire.leroy2";"claire.leroy2@mediaschool.local";"Dic{MUL;nV%j";"ce1-robert-dedre";"OU=robert-dedre,OU=Eleves,DC=Mediaschool,DC=local";"Eleve";"09h-17h"
"Thomas";"Roux";"thomas.roux3";"thomas.roux3@mediaschool.local";"Dic{MUL;nV%j";"ce1-robert-dedre";"OU=robert-dedre,OU=Eleves,DC=Mediaschool,DC=local";"Eleve";"09h-17h"
"David";"Lefebvre";"david.lefebvre1";"david.lefebvre1@mediaschool.local";"Dic{MUL;nV%j";"ce2-robert-dedre";"OU=robert-dedre,OU=Eleves,DC=Mediaschool,DC=local";"Eleve";"09h-17h"
"Thomas";"Robert";"thomas.robert2";"thomas.robert2@mediaschool.local";"Dic{MUL;nV%j";"ce2-robert-dedre";"OU=robert-dedre,OU=Eleves,DC=Mediaschool,DC=local";"Eleve";"09h-17h"
"David";"David";"david.david3";"david.david3@mediaschool.local";"Dic{MUL;nV%j";"ce2-robert-dedre";"OU=robert-dedre,OU=Eleves,DC=Mediaschool,DC=local";"Eleve";"09h-17h"
"Michel";"Roux";"michel.roux1";"michel.roux1@mediaschool.local";"Dic{MUL;nV%j";"cm1-robert-dedre";"OU=robert-dedre,OU=Eleves,DC=Mediaschool,DC=local";"Eleve";"09h-17h"
"Michel";"Lefebvre";"michel.lefebvre2";"michel.lefebvre2@mediaschool.local";"Dic{MUL;nV%j";"cm1-robert-dedre";"OU=robert-dedre,OU=Eleves,DC=Mediaschool,DC=local";"Eleve";"09h-17h"
"Camille";"Garcia";"camille.garcia3";"camille.garcia3@mediaschool.local";"Dic{MUL;nV%j";"cm1-robert-dedre";"OU=robert-dedre,OU=Eleves,DC=Mediaschool,DC=local";"Eleve";"09h-17h"
"Philippe";"Michel";"philippe.michel1";"philippe.michel1@mediaschool.local";"Dic{MUL;nV%j";"cm2-robert-dedre";"OU=robert-dedre,OU=Eleves,DC=Mediaschool,DC=local";"Eleve";"09h-17h"
"Sarah";"David";"sarah.david2";"sarah.david2@mediaschool.local";"Dic{MUL;nV%j";"cm2-robert-dedre";"OU=robert-dedre,OU=Eleves,DC=Mediaschool,DC=local";"Eleve";"09h-17h"
"Nicolas";"Leroy";"nicolas.leroy3";"nicolas.leroy3@mediaschool.local";"Dic{MUL;nV%j";"cm2-robert-dedre";"OU=robert-dedre,OU=Eleves,DC=Mediaschool,DC=local";"Eleve";"09h-17h"
"Nicolas";"Martin";"nicolas.martin1";"nicolas.martin1@mediaschool.local";"Dic{MUL;nV%j";"cp-louis-pasteur";"OU=louis-pasteur,OU=Eleves,DC=Mediaschool,DC=local";"Eleve";"09h-17h"
"David";"Bertrand";"david.bertrand2";"david.bertrand2@mediaschool.local";"Dic{MUL;nV%j";"cp-louis-pasteur";"OU=louis-pasteur,OU=Eleves,DC=Mediaschool,DC=local";"Eleve";"09h-17h"
"Marie";"Richard";"marie.richard3";"marie.richard3@mediaschool.local";"Dic{MUL;nV%j";"cp-louis-pasteur";"OU=louis-pasteur,OU=Eleves,DC=Mediaschool,DC=local";"Eleve";"09h-17h"
"Emilie";"Fournier";"emilie.fournier1";"emilie.fournier1@mediaschool.local";"Dic{MUL;nV%j";"ce1-louis-pasteur";"OU=louis-pasteur,OU=Eleves,DC=Mediaschool,DC=local";"Eleve";"09h-17h"
"Camille";"Dubois";"camille.dubois2";"camille.dubois2@mediaschool.local";"Dic{MUL;nV%j";"ce1-louis-pasteur";"OU=louis-pasteur,OU=Eleves,DC=Mediaschool,DC=local";"Eleve";"09h-17h"
"Alexandre";"Bernard";"alexandre.bernard3";"alexandre.bernard3@mediaschool.local";"Dic{MUL;nV%j";"ce1-louis-pasteur";"OU=louis-pasteur,OU=Eleves,DC=Mediaschool,DC=local";"Eleve";"09h-17h"
"Sophie";"Garcia";"sophie.garcia1";"sophie.garcia1@mediaschool.local";"Dic{MUL;nV%j";"ce2-louis-pasteur";"OU=louis-pasteur,OU=Eleves,DC=Mediaschool,DC=local";"Eleve";"09h-17h"
"Pierre";"Thomas";"pierre.thomas2";"pierre.thomas2@mediaschool.local";"Dic{MUL;nV%j";"ce2-louis-pasteur";"OU=louis-pasteur,OU=Eleves,DC=Mediaschool,DC=local";"Eleve";"09h-17h"
"Alexandre";"Fournier";"alexandre.fournier3";"alexandre.fournier3@mediaschool.local";"h>VV59He)Bta";"ce2-louis-pasteur";"OU=louis-pasteur,OU=Eleves,DC=Mediaschool,DC=local";"Eleve";"09h-17h"
"Jean";"Garcia";"jean.garcia1";"jean.garcia1@mediaschool.local";"h>VV59He)Bta";"cm1-louis-pasteur";"OU=louis-pasteur,OU=Eleves,DC=Mediaschool,DC=local";"Eleve";"09h-17h"
"Nathalie";"Leroy";"nathalie.leroy2";"nathalie.leroy2@mediaschool.local";"h>VV59He)Bta";"cm1-louis-pasteur";"OU=louis-pasteur,OU=Eleves,DC=Mediaschool,DC=local";"Eleve";"09h-17h"
"Julie";"Laurent";"julie.laurent3";"julie.laurent3@mediaschool.local";"h>VV59He)Bta";"cm1-louis-pasteur";"OU=louis-pasteur,OU=Eleves,DC=Mediaschool,DC=local";"Eleve";"09h-17h"
"Philippe";"Bertrand";"philippe.bertrand1";"philippe.bertrand1@mediaschool.local";"h>VV59He)Bta";"cm2-louis-pasteur";"OU=louis-pasteur,OU=Eleves,DC=Mediaschool,DC=local";"Eleve";"09h-17h"
"Nathalie";"Durand";"nathalie.durand2";"nathalie.durand2@mediaschool.local";"h>VV59He)Bta";"cm2-louis-pasteur";"OU=louis-pasteur,OU=Eleves,DC=Mediaschool,DC=local";"Eleve";"09h-17h"
"Laura";"Durand";"laura.durand3";"laura.durand3@mediaschool.local";"h>VV59He)Bta";"cm2-louis-pasteur";"OU=louis-pasteur,OU=Eleves,DC=Mediaschool,DC=local";"Eleve";"09h-17h"
"Marie";"Laurent";"marie.laurent1";"marie.laurent1@mediaschool.local";"h>VV59He)Bta";"cp-emile-zola";"OU=emile-zola,OU=Eleves,DC=Mediaschool,DC=local";"Eleve";"09h-17h"
"Sarah";"Simon";"sarah.simon2";"sarah.simon2@mediaschool.local";"h>VV59He)Bta";"cp-emile-zola";"OU=emile-zola,OU=Eleves,DC=Mediaschool,DC=local";"Eleve";"09h-17h"
"Jean";"Michel";"jean.michel3";"jean.michel3@mediaschool.local";"h>VV59He)Bta";"cp-emile-zola";"OU=emile-zola,OU=Eleves,DC=Mediaschool,DC=local";"Eleve";"09h-17h"
"Emilie";"Michel";"emilie.michel1";"emilie.michel1@mediaschool.local";"h>VV59He)Bta";"ce1-emile-zola";"OU=emile-zola,OU=Eleves,DC=Mediaschool,DC=local";"Eleve";"09h-17h"
"Philippe";"Bernard";"philippe.bernard2";"philippe.bernard2@mediaschool.local";"h>VV59He)Bta";"ce1-emile-zola";"OU=emile-zola,OU=Eleves,DC=Mediaschool,DC=local";"Eleve";"09h-17h"
"Laura";"Roux";"laura.roux3";"laura.roux3@mediaschool.local";"h>VV59He)Bta";"ce1-emile-zola";"OU=emile-zola,OU=Eleves,DC=Mediaschool,DC=local";"Eleve";"09h-17h"
"Nathalie";"Robert";"nathalie.robert1";"nathalie.robert1@mediaschool.local";"h>VV59He)Bta";"ce2-emile-zola";"OU=emile-zola,OU=Eleves,DC=Mediaschool,DC=local";"Eleve";"09h-17h"
"Claire";"Leroy";"claire.leroy2";"claire.leroy2@mediaschool.local";"h>VV59He)Bta";"ce2-emile-zola";"OU=emile-zola,OU=Eleves,DC=Mediaschool,DC=local";"Eleve";"09h-17h"
"Claire";"Moreau";"claire.moreau3";"claire.moreau3@mediaschool.local";"h>VV59He)Bta";"ce2-emile-zola";"OU=emile-zola,OU=Eleves,DC=Mediaschool,DC=local";"Eleve";"09h-17h"
"Emilie";"Bernard";"emilie.bernard1";"emilie.bernard1@mediaschool.local";"h>VV59He)Bta";"cm1-emile-zola";"OU=emile-zola,OU=Eleves,DC=Mediaschool,DC=local";"Eleve";"09h-17h"
"Isabelle";"Bernard";"isabelle.bernard2";"isabelle.bernard2@mediaschool.local";"h>VV59He)Bta";"cm1-emile-zola";"OU=emile-zola,OU=Eleves,DC=Mediaschool,DC=local";"Eleve";"09h-17h"
"Nicolas";"Durand";"nicolas.durand3";"nicolas.durand3@mediaschool.local";"h>VV59He)Bta";"cm1-emile-zola";"OU=emile-zola,OU=Eleves,DC=Mediaschool,DC=local";"Eleve";"09h-17h"
"Nicolas";"Richard";"nicolas.richard1";"nicolas.richard1@mediaschool.local";"h>VV59He)Bta";"cm2-emile-zola";"OU=emile-zola,OU=Eleves,DC=Mediaschool,DC=local";"Eleve";"09h-17h"
"Laura";"Martin";"laura.martin2";"laura.martin2@mediaschool.local";"h>VV59He)Bta";"cm2-emile-zola";"OU=emile-zola,OU=Eleves,DC=Mediaschool,DC=local";"Eleve";"09h-17h"
"Emilie";"Simon";"emilie.simon3";"emilie.simon3@mediaschool.local";"h>VV59He)Bta";"cm2-emile-zola";"OU=emile-zola,OU=Eleves,DC=Mediaschool,DC=local";"Eleve";"09h-17h"
"Marie";"Simon";"marie.simon1";"marie.simon1@mediaschool.local";"h>VV59He)Bta";"cp-louise-michel";"OU=louise-michel,OU=Eleves,DC=Mediaschool,DC=local";"Eleve";"09h-17h"
"FranÃ§ois";"Leroy";"franã§ois.leroy2";"franã§ois.leroy2@mediaschool.local";"h>VV59He)Bta";"cp-louise-michel";"OU=louise-michel,OU=Eleves,DC=Mediaschool,DC=local";"Eleve";"09h-17h"
"Alexandre";"Roux";"alexandre.roux3";"alexandre.roux3@mediaschool.local";"h>VV59He)Bta";"cp-louise-michel";"OU=louise-michel,OU=Eleves,DC=Mediaschool,DC=local";"Eleve";"09h-17h"
"Michel";"David";"michel.david1";"michel.david1@mediaschool.local";"h>VV59He)Bta";"ce1-louise-michel";"OU=louise-michel,OU=Eleves,DC=Mediaschool,DC=local";"Eleve";"09h-17h"
"Sarah";"Garcia";"sarah.garcia2";"sarah.garcia2@mediaschool.local";"h>VV59He)Bta";"ce1-louise-michel";"OU=louise-michel,OU=Eleves,DC=Mediaschool,DC=local";"Eleve";"09h-17h"
"Camille";"Roux";"camille.roux3";"camille.roux3@mediaschool.local";"h>VV59He)Bta";"ce1-louise-michel";"OU=louise-michel,OU=Eleves,DC=Mediaschool,DC=local";"Eleve";"09h-17h"
"David";"Leroy";"david.leroy1";"david.leroy1@mediaschool.local";"h>VV59He)Bta";"ce2-louise-michel";"OU=louise-michel,OU=Eleves,DC=Mediaschool,DC=local";"Eleve";"09h-17h"
"Nathalie";"Robert";"nathalie.robert2";"nathalie.robert2@mediaschool.local";"h>VV59He)Bta";"ce2-louise-michel";"OU=louise-michel,OU=Eleves,DC=Mediaschool,DC=local";"Eleve";"09h-17h"
"Pierre";"Fournier";"pierre.fournier3";"pierre.fournier3@mediaschool.local";"h>VV59He)Bta";"ce2-louise-michel";"OU=louise-michel,OU=Eleves,DC=Mediaschool,DC=local";"Eleve";"09h-17h"
"Isabelle";"Roux";"isabelle.roux1";"isabelle.roux1@mediaschool.local";"h>VV59He)Bta";"cm1-louise-michel";"OU=louise-michel,OU=Eleves,DC=Mediaschool,DC=local";"Eleve";"09h-17h"
"Camille";"Bernard";"camille.bernard2";"camille.bernard2@mediaschool.local";"h>VV59He)Bta";"cm1-louise-michel";"OU=louise-michel,OU=Eleves,DC=Mediaschool,DC=local";"Eleve";"09h-17h"
"FranÃ§ois";"Roux";"franã§ois.roux3";"franã§ois.roux3@mediaschool.local";"h>VV59He)Bta";"cm1-louise-michel";"OU=louise-michel,OU=Eleves,DC=Mediaschool,DC=local";"Eleve";"09h-17h"
"Nathalie";"Martin";"nathalie.martin1";"nathalie.martin1@mediaschool.local";"h>VV59He)Bta";"cm2-louise-michel";"OU=louise-michel,OU=Eleves,DC=Mediaschool,DC=local";"Eleve";"09h-17h"
"Alexandre";"Durand";"alexandre.durand2";"alexandre.durand2@mediaschool.local";"h>VV59He)Bta";"cm2-louise-michel";"OU=louise-michel,OU=Eleves,DC=Mediaschool,DC=local";"Eleve";"09h-17h"
"Sophie";"David";"sophie.david3";"sophie.david3@mediaschool.local";"h>VV59He)Bta";"cm2-louise-michel";"OU=louise-michel,OU=Eleves,DC=Mediaschool,DC=local";"Eleve";"09h-17h"
"Laura";"Vincent";"laura.vincent1";"laura.vincent1@mediaschool.local";"h>VV59He)Bta";"enseignant-simone-veil";"OU=simone-veil,OU=Professeurs,DC=Mediaschool,DC=local";"enseignant";"08h-18h"
"Emilie";"Petit";"emilie.petit2";"emilie.petit2@mediaschool.local";"h>VV59He)Bta";"enseignant-simone-veil";"OU=simone-veil,OU=Professeurs,DC=Mediaschool,DC=local";"enseignant";"08h-18h"
"Julie";"Michel";"julie.michel1";"julie.michel1@mediaschool.local";"h>VV59He)Bta";"direction-simone-veil";"OU=simone-veil,OU=Professeurs,DC=Mediaschool,DC=local";"direction";"08h-18h"
"Nathalie";"Bertrand";"nathalie.bertrand2";"nathalie.bertrand2@mediaschool.local";"h>VV59He)Bta";"direction-simone-veil";"OU=simone-veil,OU=Professeurs,DC=Mediaschool,DC=local";"direction";"08h-18h"
"Nathalie";"Fournier";"nathalie.fournier1";"nathalie.fournier1@mediaschool.local";"h>VV59He)Bta";"enseignant-robert-batinder";"OU=robert-batinder,OU=Professeurs,DC=Mediaschool,DC=local";"enseignant";"08h-18h"
"Pierre";"Martin";"pierre.martin2";"pierre.martin2@mediaschool.local";"h>VV59He)Bta";"enseignant-robert-batinder";"OU=robert-batinder,OU=Professeurs,DC=Mediaschool,DC=local";"enseignant";"08h-18h"
"Thomas";"Leroy";"thomas.leroy1";"thomas.leroy1@mediaschool.local";"h>VV59He)Bta";"direction-robert-batinder";"OU=robert-batinder,OU=Professeurs,DC=Mediaschool,DC=local";"direction";"08h-18h"
"Laura";"Durand";"laura.durand2";"laura.durand2@mediaschool.local";"h>VV59He)Bta";"direction-robert-batinder";"OU=robert-batinder,OU=Professeurs,DC=Mediaschool,DC=local";"direction";"08h-18h"
"Emilie";"Vincent";"emilie.vincent1";"emilie.vincent1@mediaschool.local";"h>VV59He)Bta";"enseignant-jules-ferry";"OU=jules-ferry,OU=Professeurs,DC=Mediaschool,DC=local";"enseignant";"08h-18h"
"Alexandre";"Leroy";"alexandre.leroy2";"alexandre.leroy2@mediaschool.local";"h>VV59He)Bta";"enseignant-jules-ferry";"OU=jules-ferry,OU=Professeurs,DC=Mediaschool,DC=local";"enseignant";"08h-18h"
"Sophie";"Bertrand";"sophie.bertrand1";"sophie.bertrand1@mediaschool.local";"h>VV59He)Bta";"direction-jules-ferry";"OU=jules-ferry,OU=Professeurs,DC=Mediaschool,DC=local";"direction";"08h-18h"
"Laura";"Garcia";"laura.garcia2";"laura.garcia2@mediaschool.local";"h>VV59He)Bta";"direction-jules-ferry";"OU=jules-ferry,OU=Professeurs,DC=Mediaschool,DC=local";"direction";"08h-18h"
"Thomas";"Leroy";"thomas.leroy1";"thomas.leroy1@mediaschool.local";"h>VV59He)Bta";"enseignant-robert-dedre";"OU=robert-dedre,OU=Professeurs,DC=Mediaschool,DC=local";"enseignant";"08h-18h"
"Alexandre";"Laurent";"alexandre.laurent2";"alexandre.laurent2@mediaschool.local";"h>VV59He)Bta";"enseignant-robert-dedre";"OU=robert-dedre,OU=Professeurs,DC=Mediaschool,DC=local";"enseignant";"08h-18h"
"FranÃ§ois";"Moreau";"franã§ois.moreau1";"franã§ois.moreau1@mediaschool.local";"h>VV59He)Bta";"direction-robert-dedre";"OU=robert-dedre,OU=Professeurs,DC=Mediaschool,DC=local";"direction";"08h-18h"
"Marie";"Bertrand";"marie.bertrand2";"marie.bertrand2@mediaschool.local";"h>VV59He)Bta";"direction-robert-dedre";"OU=robert-dedre,OU=Professeurs,DC=Mediaschool,DC=local";"direction";"08h-18h"
"Jean";"Thomas";"jean.thomas1";"jean.thomas1@mediaschool.local";"h>VV59He)Bta";"enseignant-louis-pasteur";"OU=louis-pasteur,OU=Professeurs,DC=Mediaschool,DC=local";"enseignant";"08h-18h"
"Julie";"Moreau";"julie.moreau2";"julie.moreau2@mediaschool.local";"h>VV59He)Bta";"enseignant-louis-pasteur";"OU=louis-pasteur,OU=Professeurs,DC=Mediaschool,DC=local";"enseignant";"08h-18h"
"Julien";"Thomas";"julien.thomas1";"julien.thomas1@mediaschool.local";"h>VV59He)Bta";"direction-louis-pasteur";"OU=louis-pasteur,OU=Professeurs,DC=Mediaschool,DC=local";"direction";"08h-18h"
"Michel";"Petit";"michel.petit2";"michel.petit2@mediaschool.local";"h>VV59He)Bta";"direction-louis-pasteur";"OU=louis-pasteur,OU=Professeurs,DC=Mediaschool,DC=local";"direction";"08h-18h"
